timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695753429118,2016,HTTP Request,200,OK,Hundredthread 1-5,text,true,,101146,120,15,15,https://www.daraz.com.bd/,269,0,196
1695753431716,1112,HTTP Request,200,OK,Hundredthread 1-18,text,true,,101161,120,19,19,https://www.daraz.com.bd/,440,0,302
1695753429516,5538,HTTP Request,200,OK,Hundredthread 1-7,text,true,,1142952,120,18,18,https://www.daraz.com.bd/,465,0,354
1695753429318,7664,HTTP Request,200,OK,Hundredthread 1-6,text,true,,1142936,120,17,17,https://www.daraz.com.bd/,1383,0,1285
1695753428731,8501,HTTP Request,200,OK,Hundredthread 1-3,text,true,,1142935,120,16,16,https://www.daraz.com.bd/,314,0,238
1695753429915,7378,HTTP Request,200,OK,Hundredthread 1-9,text,true,,1142928,120,15,15,https://www.daraz.com.bd/,391,0,306
1695753431115,6215,HTTP Request,200,OK,Hundredthread 1-15,text,true,,1142935,120,14,14,https://www.daraz.com.bd/,287,0,211
1695753430916,6566,HTTP Request,200,OK,Hundredthread 1-14,text,true,,1142974,120,13,13,https://www.daraz.com.bd/,315,0,239
1695753430715,7099,HTTP Request,200,OK,Hundredthread 1-13,text,true,,1142976,120,12,12,https://www.daraz.com.bd/,420,0,346
1695753428411,9404,HTTP Request,200,OK,Hundredthread 1-1,text,true,,1142964,120,12,12,https://www.daraz.com.bd/,615,0,503
1695753429717,8706,HTTP Request,200,OK,Hundredthread 1-8,text,true,,1142936,120,10,10,https://www.daraz.com.bd/,363,0,274
1695753428532,9988,HTTP Request,200,OK,Hundredthread 1-2,text,true,,1142959,120,9,9,https://www.daraz.com.bd/,495,0,383
1695753430515,8005,HTTP Request,200,OK,Hundredthread 1-12,text,true,,1142984,120,9,9,https://www.daraz.com.bd/,468,0,275
1695753431316,7246,HTTP Request,200,OK,Hundredthread 1-16,text,true,,1142952,120,7,7,https://www.daraz.com.bd/,345,0,252
1695753428918,9884,HTTP Request,200,OK,Hundredthread 1-4,text,true,,1142971,120,6,6,https://www.daraz.com.bd/,309,0,238
1695753432116,6745,HTTP Request,200,OK,Hundredthread 1-20,text,true,,1142951,120,5,5,https://www.daraz.com.bd/,1437,0,1328
1695753430316,8793,HTTP Request,200,OK,Hundredthread 1-11,text,true,,1142936,120,4,4,https://www.daraz.com.bd/,1358,0,1264
1695753431914,7763,HTTP Request,200,OK,Hundredthread 1-19,text,true,,1142936,120,3,3,https://www.daraz.com.bd/,781,0,688
1695753431516,8224,HTTP Request,200,OK,Hundredthread 1-17,text,true,,1142926,120,2,2,https://www.daraz.com.bd/,385,0,286
1695753430115,9769,HTTP Request,200,OK,Hundredthread 1-10,text,true,,1142912,120,1,1,https://www.daraz.com.bd/,397,0,312
