timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695752677214,582,HTTP Request,200,OK,ThreadGroup 1-1,text,true,,401849,119,3,3,https://www.shopify.com/,422,0,307
1695752677427,1121,HTTP Request,200,OK,ThreadGroup 1-2,text,true,,401836,119,5,5,https://www.shopify.com/,577,0,375
1695752677799,751,HTTP Request,200,OK,ThreadGroup 1-1,text,true,,401849,119,5,5,https://www.shopify.com/,111,0,0
1695752677728,1257,HTTP Request,200,OK,ThreadGroup 1-3,text,true,,401842,119,7,7,https://www.shopify.com/,288,0,85
1695752678551,451,HTTP Request,200,OK,ThreadGroup 1-1,text,true,,401848,119,7,7,https://www.shopify.com/,170,0,0
1695752678549,816,HTTP Request,200,OK,ThreadGroup 1-2,text,true,,401860,119,7,7,https://www.shopify.com/,216,0,0
1695752678629,975,HTTP Request,200,OK,ThreadGroup 1-6,text,true,,401849,119,8,8,https://www.shopify.com/,285,0,100
1695752678986,777,HTTP Request,200,OK,ThreadGroup 1-3,text,true,,401847,119,8,8,https://www.shopify.com/,169,0,0
1695752678028,1835,HTTP Request,200,OK,ThreadGroup 1-4,text,true,,401841,119,9,9,https://www.shopify.com/,1164,0,1013
1695752679226,1075,HTTP Request,200,OK,ThreadGroup 1-8,text,true,,401836,119,10,10,https://www.shopify.com/,480,0,329
1695752678927,1382,HTTP Request,200,OK,ThreadGroup 1-7,text,true,,401860,119,10,10,https://www.shopify.com/,372,0,145
1695752678328,2196,HTTP Request,200,OK,ThreadGroup 1-5,text,true,,401853,119,11,11,https://www.shopify.com/,1521,0,1337
1695752679365,1165,HTTP Request,200,OK,ThreadGroup 1-2,text,true,,401849,119,11,11,https://www.shopify.com/,252,0,0
1695752679864,760,HTTP Request,200,OK,ThreadGroup 1-4,text,true,,401857,119,10,10,https://www.shopify.com/,218,0,0
1695752680302,1023,HTTP Request,200,OK,ThreadGroup 1-8,text,true,,401854,119,13,13,https://www.shopify.com/,339,0,0
1695752680525,933,HTTP Request,200,OK,ThreadGroup 1-5,text,true,,401854,119,13,13,https://www.shopify.com/,282,0,0
1695752679533,1926,HTTP Request,200,OK,ThreadGroup 1-9,text,true,,401836,119,13,13,https://www.shopify.com/,491,0,233
1695752679763,1712,HTTP Request,200,OK,ThreadGroup 1-3,text,true,,401848,119,13,13,https://www.shopify.com/,189,0,0
1695752679825,1730,HTTP Request,200,OK,ThreadGroup 1-10,text,true,,401850,119,12,12,https://www.shopify.com/,738,0,305
1695752680625,992,HTTP Request,200,OK,ThreadGroup 1-4,text,true,,401848,119,12,12,https://www.shopify.com/,671,0,0
1695752680310,1359,HTTP Request,200,OK,ThreadGroup 1-7,text,true,,401854,119,12,12,https://www.shopify.com/,353,0,0
1695752679605,2260,HTTP Request,200,OK,ThreadGroup 1-6,text,true,,401847,119,12,12,https://www.shopify.com/,353,0,0
1695752680126,2199,HTTP Request,200,OK,ThreadGroup 1-11,text,true,,401843,119,14,14,https://www.shopify.com/,1090,0,640
1695752681325,1061,HTTP Request,200,OK,ThreadGroup 1-8,text,true,,401851,119,14,14,https://www.shopify.com/,292,0,0
1695752681459,1097,HTTP Request,200,OK,ThreadGroup 1-5,text,true,,401856,119,14,14,https://www.shopify.com/,288,0,0
1695752682326,1078,HTTP Request,200,OK,ThreadGroup 1-11,text,true,,401848,119,15,15,https://www.shopify.com/,321,0,0
1695752681555,1907,HTTP Request,200,OK,ThreadGroup 1-10,text,true,,401854,119,16,16,https://www.shopify.com/,441,0,0
1695752681670,1806,HTTP Request,200,OK,ThreadGroup 1-7,text,true,,401849,119,16,16,https://www.shopify.com/,422,0,0
1695752681460,2032,HTTP Request,200,OK,ThreadGroup 1-9,text,true,,401849,119,15,15,https://www.shopify.com/,443,0,0
1695752681025,2617,HTTP Request,200,OK,ThreadGroup 1-14,text,true,,401849,119,15,15,https://www.shopify.com/,937,0,485
1695752680726,3112,HTTP Request,200,OK,ThreadGroup 1-13,text,true,,401843,119,16,16,https://www.shopify.com/,850,0,594
1695752681325,3343,HTTP Request,200,OK,ThreadGroup 1-15,text,true,,401841,119,19,19,https://www.shopify.com/,1171,0,861
1695752681624,3130,HTTP Request,200,OK,ThreadGroup 1-16,text,true,,401848,119,19,19,https://www.shopify.com/,984,0,684
1695752683405,1383,HTTP Request,200,OK,ThreadGroup 1-11,text,true,,401841,119,19,19,https://www.shopify.com/,351,0,0
1695752683462,1418,HTTP Request,200,OK,ThreadGroup 1-10,text,true,,401841,119,18,18,https://www.shopify.com/,366,0,0
1695752681866,3300,HTTP Request,200,OK,ThreadGroup 1-6,text,true,,401841,119,18,18,https://www.shopify.com/,336,0,0
1695752680427,4793,HTTP Request,200,OK,ThreadGroup 1-12,text,true,,401836,119,17,17,https://www.shopify.com/,1937,0,1602
1695752684755,1013,HTTP Request,200,OK,ThreadGroup 1-16,text,true,,401861,119,19,19,https://www.shopify.com/,365,0,0
1695752683492,2295,HTTP Request,200,OK,ThreadGroup 1-9,text,true,,401836,119,19,19,https://www.shopify.com/,440,0,0
1695752683839,1959,HTTP Request,200,OK,ThreadGroup 1-13,text,true,,401841,119,18,18,https://www.shopify.com/,878,0,0
1695752684669,1751,HTTP Request,200,OK,ThreadGroup 1-15,text,true,,401843,119,20,20,https://www.shopify.com/,321,0,0
1695752682226,4492,HTTP Request,200,OK,ThreadGroup 1-18,text,true,,401862,119,21,21,https://www.shopify.com/,1086,0,391
1695752684027,2718,HTTP Request,200,OK,ThreadGroup 1-24,text,true,,401843,119,22,22,https://www.shopify.com/,1067,0,752
1695752683126,3637,HTTP Request,200,OK,ThreadGroup 1-21,text,true,,401843,119,22,22,https://www.shopify.com/,972,0,503
1695752683724,3121,HTTP Request,200,OK,ThreadGroup 1-23,text,true,,401843,119,22,22,https://www.shopify.com/,2086,0,1628
