timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695745390911,5406,HTTP Request,200,OK,Hundredthread 1-11,text,true,,1144911,120,20,20,https://www.daraz.com.bd/,270,0,205
1695745389017,7798,HTTP Request,200,OK,Hundredthread 1-1,text,true,,1144868,120,19,19,https://www.daraz.com.bd/,830,0,679
1695745391309,5710,HTTP Request,200,OK,Hundredthread 1-13,text,true,,1144956,120,18,18,https://www.daraz.com.bd/,272,0,208
1695745389713,7677,HTTP Request,200,OK,Hundredthread 1-5,text,true,,1144895,120,17,17,https://www.daraz.com.bd/,556,0,487
1695745392309,5646,HTTP Request,200,OK,Hundredthread 1-18,text,true,,1144916,120,16,16,https://www.daraz.com.bd/,343,0,264
1695745389512,8645,HTTP Request,200,OK,Hundredthread 1-4,text,true,,1144896,120,15,15,https://www.daraz.com.bd/,1348,0,1204
1695745390710,7563,HTTP Request,200,OK,Hundredthread 1-10,text,true,,1144895,120,14,14,https://www.daraz.com.bd/,273,0,210
1695745392510,5874,HTTP Request,200,OK,Hundredthread 1-19,text,true,,1144884,120,13,13,https://www.daraz.com.bd/,312,0,236
1695745391709,6728,HTTP Request,200,OK,Hundredthread 1-15,text,true,,1144876,120,12,12,https://www.daraz.com.bd/,405,0,199
1695745391910,6542,HTTP Request,200,OK,Hundredthread 1-16,text,true,,1144916,120,11,11,https://www.daraz.com.bd/,380,0,292
1695745389313,9141,HTTP Request,200,OK,Hundredthread 1-3,text,true,,1144928,120,10,10,https://www.daraz.com.bd/,481,0,384
1695745389114,9346,HTTP Request,200,OK,Hundredthread 1-2,text,true,,1144879,120,9,9,https://www.daraz.com.bd/,680,0,583
1695745389913,9156,HTTP Request,200,OK,Hundredthread 1-6,text,true,,1144991,120,8,8,https://www.daraz.com.bd/,1630,0,1563
1695745391510,7747,HTTP Request,200,OK,Hundredthread 1-14,text,true,,1144900,120,7,7,https://www.daraz.com.bd/,323,0,244
1695745390510,9091,HTTP Request,200,OK,Hundredthread 1-9,text,true,,1144896,120,6,6,https://www.daraz.com.bd/,273,0,206
1695745391116,8547,HTTP Request,200,OK,Hundredthread 1-12,text,true,,1144873,120,5,5,https://www.daraz.com.bd/,1530,0,1445
1695745392110,7576,HTTP Request,200,OK,Hundredthread 1-17,text,true,,1144895,120,4,4,https://www.daraz.com.bd/,438,0,353
1695745390310,9583,HTTP Request,200,OK,Hundredthread 1-8,text,true,,1144880,120,3,3,https://www.daraz.com.bd/,259,0,192
1695745390112,9838,HTTP Request,200,OK,Hundredthread 1-7,text,true,,1144898,120,2,2,https://www.daraz.com.bd/,984,0,781
1695745392711,7279,HTTP Request,200,OK,Hundredthread 1-20,text,true,,1144887,120,1,1,https://www.daraz.com.bd/,277,0,208
